potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
267,b,Copper,1,1,90,0.9491509434,0.5806451613,1e-16,23.6293826973115
268,c,All_in,5,9,50,1.002206522,0.6060606061,2,23.6980686462805
269,b,Salinity,1,12,35,0.6160489865,0.5,3,23.4644154066871
270,c,Ctrl,0,3,80,0.6105854701,0.5714285713999999,1,23.583198983523
271,a,µPlastic,1,10,45,0.7220324232,0.4375,1,23.3941113912981
272,b,Ctrl,0,10,45,0.5278398438,0.53125,3,23.4101690266943
273,c,Ctrl,0,4,75,0.5534190476,0.4193548387,1e-16,23.6772791693222
274,c,All_in,5,4,75,1.189667832,0.4375,1,23.9453513342565
275,b,Ctrl,0,8,55,0.6969637681,0.5161290323,2,23.4009221053245
276,b,Copper,1,2,85,1.131251852,0.5161290323,1e-16,23.4253125617088
277,a,Nitrogen,1,2,85,1.001448339,0.40625,1,NA
278,a,Nitrogen,1,10,45,1.274846591,0.4838709677,3,23.2112908907325
279,a,Nitrogen,1,4,75,1.166528269,0.45161290319999997,2,23.6461803468312
280,c,Ctrl,0,9,50,0.6169230769,0.5483870968,1e-16,23.8008831525195
281,c,All_in,5,15,20,0.6377038328,0.45161290319999997,5,23.723888525115
282,c,Salinity,1,14,25,0.5616837456,0.5333333333,3,23.3327587037459
283,a,Copper,1,5,70,1.048730916,0.375,1e-16,23.7560442995533
284,a,µPlastic,1,12,35,0.6692972973,0.5333333333,4,23.5442254392177
285,b,Surfactant,1,4,75,1.043653285,0.33333333330000003,1e-16,23.5351490881558
286,b,Salinity,1,2,85,0.8862313433,0.23333333329999997,1e-16,23.4794913085419
287,b,Ctrl,0,1,90,0.4256584158,0.5517241379,1e-16,23.8416198502801
288,a,Nitrogen,1,12,35,0.6449634146,0.5806451613,4,23.2073583978246
289,b,Copper,1,3,80,1.062669742,0.4838709677,1e-16,23.6022853094985
290,a,Salinity,1,7,60,1.26362543,0.5172413793,1,23.9215749811579
291,a,Ctrl,0,14,25,0.6445735294,0.5161290323,5,23.4483670128855
292,b,Salinity,1,9,50,0.8013615917,0.5172413793,4,23.6863124086546
293,a,Ctrl,0,1,90,0.5453772727,0.40625,1,23.6510787958224
294,c,Nitrogen,1,13,30,0.5550135593,0.4375,4,23.7545123838924
295,c,Copper,1,15,20,0.6594486301,0.5,5,23.6470726235677
296,a,µPlastic,1,11,40,0.603164311,0.5454545455,5,23.7738499620055
297,b,Nitrogen,1,3,80,0.9262392857,0.4838709677,1e-16,NA
298,b,All_in,5,15,20,0.6034895833,0.375,5,23.4072464111216
299,a,Ctrl,0,2,85,0.4832478992,0.53125,1e-16,23.5997180010957
300,b,Salinity,1,5,70,0.84796223019999994,0.46666666669999995,1e-16,23.7760050191284
301,a,Ctrl,0,12,35,0.6002740741,0.41666666669999997,2,23.4695404598664
302,a,µPlastic,1,1,90,0.6611014493,0.5,2,23.5587886013139
303,c,Nitrogen,1,7,60,0.8226768953,0.45161290319999997,2,23.5169158459933
304,c,Surfactant,1,9,50,0.86715,0.41666666669999997,2,23.4666391771131
305,a,Salinity,1,2,85,0.9757633588,0.5,1e-16,23.6005196365575
306,c,Salinity,1,15,20,0.5983737024,0.625,4,23.8732139444902
307,a,Copper,1,9,50,0.7210804795,0.9310344827999999,1,23.7035888938469
308,b,Copper,1,12,35,0.597665493,0.5517241379,5,23.1681692653077
309,c,Nitrogen,1,2,85,1.011784644,0.6129032258,1e-16,23.5875472222774
310,c,Copper,1,3,80,1.207604779,0.5757575758,1e-16,23.5503104326131
311,c,Surfactant,1,5,70,1.291564576,0.40625,1e-16,23.5900623887226
312,a,Copper,1,15,20,0.5700034722,0.4,4,23.5177791561986
313,b,µPlastic,1,12,35,0.5943973064,0.4857142857,5,23.6425293870765
314,c,Surfactant,1,13,30,0.5670436242,0.75,5,23.6966376183579
315,b,Ctrl,0,9,50,0.660388,0.5666666667,1e-16,23.5284778438524
256,c,Copper,1,1,90,0.9350992647,0.42424242419999997,1e-16,23.6232653933619
